word,f,precision,recall,retrieved,relevant,total relevant,time
1,0.6993865030674846,1.0,0.5377358490566038,57,57,106,0.994
2,0.7514450867052024,0.9701492537313433,0.6132075471698113,67,65,106,2.457
3,0.5077720207253885,0.7313432835820896,0.3888888888888889,67,49,126,5.982
4,0.5403225806451613,0.9852941176470589,0.37222222222222223,68,67,180,1.1
5,0.6807017543859649,0.7348484848484849,0.6339869281045751,132,97,153,8.249
6,0.6071428571428571,0.7589285714285714,0.5059523809523809,112,85,168,1.709
7,0.692556634304207,0.6903225806451613,0.6948051948051948,155,107,154,2.75
8,0.5584905660377358,0.6851851851851852,0.4713375796178344,108,74,157,2.67
9,0.6557377049180327,0.6451612903225806,0.6666666666666666,155,100,150,2.335
10,0.5217391304347826,0.8852459016393442,0.3698630136986301,61,54,146,2.95
11,0.6964285714285714,0.6666666666666666,0.7289719626168224,117,78,107,4.28
12,0.7581699346405228,0.9666666666666667,0.6236559139784946,120,116,186,3.429
13,0.6916426512968299,1.0,0.5286343612334802,120,120,227,3.161
14,0.5398773006134969,0.9565217391304348,0.37606837606837606,46,44,117,0.924
15,0.7457627118644068,1.0,0.5945945945945946,66,66,111,1.09
16,0.47846889952153104,0.9259259259259259,0.3225806451612903,54,50,155,1.412
17,0.5567010309278351,0.9473684210526315,0.39416058394160586,57,54,137,1.042
18,0.39819004524886875,0.46808510638297873,0.3464566929133858,94,44,127,2.863
19,0.743718592964824,0.8222222222222222,0.6788990825688074,90,74,109,1.512
20,0.7575757575757575,0.9493670886075949,0.6302521008403361,79,75,119,2.029
total,0.6326618088298329,0.8087671232876712,0.5195353748680043,1825,1476,2841,52.93932658806443
